Categoria;Fabricante;Cod.;Modelo;Combustivel;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A - AUTOMOVEIS;BMW;153648;BMW 316I 4DR;G;;;;;;;;;;;;;;; R$ 15.678,00 
TABELA A - AUTOMOVEIS;BMW;153651;BMW 335I VB71;G;;;;;;;;; R$ 81.201,00 ; R$ 75.104,00 ; R$ 68.521,00 ;;;;
TABELA A - AUTOMOVEIS;BMW;153652;BMW 335ICA WL71;G;;;;;;; R$ 132.192,00 ; R$ 125.898,00 ; R$ 111.474,00 ; R$ 109.621,00 ;;;;;
TABELA A - AUTOMOVEIS;BMW;153654;BMW 335I SEDAN;G;;;; R$ 161.614,00 ; R$ 157.452,00 ;;; R$ 93.313,00 ; R$ 78.075,00 ; R$ 72.212,00 ;;;;;
TABELA A - AUTOMOVEIS;BMW;153655;BMW 335I COUPE;G;;;;;;;;; R$ 77.325,00 ; R$ 71.517,00 ;;;;;
TABELA A - AUTOMOVEIS;BMW;153656;BMW Z4 3.0I ROADSTER;G;;;;;;;;;; R$ 102.124,00 ;;;;;
TABELA A - AUTOMOVEIS;BMW;153639;BMW 325I TO VS11;G;;;;;;;;;; R$ 56.821,00 ; R$ 52.221,00 ; R$ 50.517,00 ;;;
TABELA A - AUTOMOVEIS;BMW;153635;BMW 330I VB31;G;;;;;;;;;;; R$ 55.455,00 ; R$ 46.242,00 ;;;
TABELA A - AUTOMOVEIS;BMW;153664;BMW 328I VA33;G;;;;;;;;; R$ 71.981,00 ;;;;;;
TABELA A - AUTOMOVEIS;BMW;153665;BMW M3 VA91;G;;;;;;;;; R$ 147.984,00 ;;;;;;
