Categoria;Fabricante;Cod.;Modelo;Combustivel;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151232;JETTA CL AA;G;; R$ 64.685,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151221;VW MOVE UP;G;;;; R$ 37.395,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151235;GOL ROCK IN RIO MB;G;; R$ 35.863,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151237;UP MOVE MB;G; R$ 34.759,00 ; R$ 30.837,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151239;VW JETTA HL AE;G; R$ 94.875,00 ; R$ 84.627,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151240;VW GOLF VARIANT CL MA;G; R$ 76.625,00 ; R$ 71.817,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151241;VW PASSAT HL TSI AA;G; R$ 125.678,00 ; R$ 119.754,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151242;JETTA CL AB;G; R$ 82.580,00 ; R$ 79.063,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151243;VW PASSAT CL TSI AA;G; R$ 131.146,00 ; R$ 122.799,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151244;VW JETTA CL AF;G; R$ 82.662,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151231;VW JETTA HL AD;G;; R$ 84.627,00 ; R$ 75.865,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151210;VW PASSAT 2.0T;G;;; R$ 86.751,00 ; R$ 74.217,00 ; R$ 67.155,00 ; R$ 61.000,00 ; R$ 53.488,00 ;;; R$ 33.987,00 ;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112293;VW JETTA 2.0T;G;;; R$ 73.517,00 ; R$ 65.515,00 ; R$ 56.376,00 ; R$ 51.669,00 ; R$ 51.583,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112207;VW GOLF GTI;G;;;;;;;;; R$ 32.556,00 ; R$ 30.829,00 ; R$ 26.618,00 ;;; R$ 21.031,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;108551;VOLKSWAGEN SEDAN COUPE;G;;;;;;;; R$ 70.236,00 ;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;150803;BUGRE BGR5;G;;;;; R$ 14.784,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151203;VW PASSAT VARIANT;G;;;; R$ 94.951,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151205;VW PASSAT VARIANT 2.0;G;;;;;;; R$ 62.096,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151206;VW PASSAT VARIANT TURB;G;;;;;;;;;;;;; R$ 21.855,00 ; R$ 20.856,00 ; R$ 18.827,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151207;VW PASSAT VAR 2.0 FSI;G;;;;;;;;;; R$ 32.205,00 ; R$ 30.076,00 ; R$ 28.160,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151223;UP HIGH MA;G; R$ 38.155,00 ; R$ 35.220,00 ; R$ 32.813,00 ; R$ 29.877,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151209;VW PASSAT SEDAN 2.0T;G;;;;;;;;; R$ 34.950,00 ;;;;; R$ 24.093,00 ; R$ 22.128,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112231;VW PASSAT VARIANT V6;G;;;;;;;;;; R$ 58.709,00 ;;; R$ 25.564,00 ; R$ 24.041,00 ; R$ 22.073,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151211;VW PASSAT VAR. 2.0T;G;;; R$ 99.820,00 ; R$ 93.588,00 ; R$ 69.762,00 ; R$ 65.513,00 ; R$ 61.391,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151212;VW JETTA SEL;G;;;;;;; R$ 44.707,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151213;VW JETTA SE;G;; R$ 65.025,00 ;; R$ 57.432,00 ; R$ 50.727,00 ; R$ 47.654,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151215;VW GOLF R;G;;;;; R$ 34.407,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151216;VW GOLF R 4MOTION;G;;;;; R$ 57.819,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151217;VW PASSAT GLS 1.8T;G;;;;;;;;;;;;;; R$ 20.138,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151218;VW CC 3.6 V6;G;;; R$ 128.656,00 ; R$ 116.687,00 ; R$ 91.858,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151220;VW ROUTAN SE;G;;;;;; R$ 113.106,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;151208;VW PASSAT 3.2 FSI;G;;;;;;;;; R$ 42.681,00 ; R$ 39.734,00 ; R$ 37.905,00 ;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115733;GOL 1.6 MI;G;;;;;;;;; R$ 18.592,00 ;;;;;; R$ 10.968,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112291;VW GOLF 1.4 TRENDLINE;G;;;;;;;;;;; R$ 22.156,00 ;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115701;GOL BX;G;;;;;; R$ 16.725,00 ;;;;;;; R$ 11.772,00 ;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115717;GOL CL 1.8;G;;;;;;;;;;;;; R$ 16.853,00 ;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115718;GOL 1000;G;;;;;;;;;;;; R$ 11.890,00 ; R$ 11.517,00 ;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112294;VW CC LUXURY;G;;;;; R$ 93.012,00 ; R$ 87.694,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115731;GOL CL 1.8 MI;G;;;;;;;;;;;;; R$ 14.260,00 ; R$ 13.577,00 ; R$ 12.927,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115734;GOL CL 1.6 MI;G;;;;;;;; R$ 16.924,00 ;;; R$ 14.394,00 ;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115739;GOL 16V PLUS;G;;;;;;;;;;;; R$ 11.569,00 ; R$ 11.231,00 ; R$ 10.509,00 ; R$ 9.947,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115740;GOL 16V;G;;;;;;;;;;;;;;; R$ 9.593,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115742;GOL SPORT;G;;;;;;;;;;;;;;; R$ 10.593,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115743;GOL SPECIAL;G;;;;;;;;;; R$ 12.303,00 ;; R$ 10.729,00 ; R$ 10.019,00 ; R$ 9.683,00 ; R$ 8.961,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115744;GOL 1.0;G;;;; R$ 18.840,00 ; R$ 17.945,00 ; R$ 17.393,00 ; R$ 16.726,00 ; R$ 15.424,00 ; R$ 14.626,00 ; R$ 12.960,00 ; R$ 11.807,00 ; R$ 10.761,00 ; R$ 9.623,00 ; R$ 9.245,00 ; R$ 8.711,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115757;GOL HIGHWAY;G;;;;;;;;;;;;; R$ 12.387,00 ; R$ 10.873,00 ; R$ 10.406,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115726;GOL I 1.6;G;;;;;;;;; R$ 17.462,00 ;;; R$ 14.690,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115745;GOL 1.6;G;;;; R$ 27.954,00 ; R$ 25.810,00 ; R$ 23.807,00 ; R$ 21.149,00 ; R$ 19.124,00 ; R$ 16.733,00 ; R$ 15.233,00 ; R$ 14.427,00 ; R$ 13.056,00 ; R$ 12.453,00 ; R$ 11.953,00 ; R$ 11.533,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112296;VW PASSAT CC;G;;;;; R$ 106.786,00 ; R$ 102.201,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115758;GOL 16V POWER;G;;;;;;;;;;;; R$ 12.728,00 ;; R$ 11.531,00 ; R$ 10.960,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115756;GOL TREND;G;;; R$ 20.779,00 ;;; R$ 17.391,00 ;; R$ 13.644,00 ;;;;;;; R$ 10.260,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112295;VW PASSAT CC SP 2.0T;G;;;;;;; R$ 66.637,00 ;; R$ 62.772,00 ;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115753;GOL 1.0 PLUS;G;;;;;;;;; R$ 16.826,00 ; R$ 15.388,00 ; R$ 14.568,00 ; R$ 13.643,00 ; R$ 13.009,00 ; R$ 12.404,00 ; R$ 11.135,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115752;GOL 16V TURBO;G;;;;;;;;;;;;;; R$ 12.216,00 ; R$ 11.551,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115750;GOL PATRULHEIRO 1.8;G;;;;;;;;;;;;; R$ 13.222,00 ; R$ 12.645,00 ; R$ 12.391,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115749;GOL PATRULHEIRO 1.6;G;;;;;;;;; R$ 16.296,00 ; R$ 14.868,00 ; R$ 14.469,00 ; R$ 13.680,00 ; R$ 13.079,00 ;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115747;GOL 2.0;G;;;;;;;;;;;;;; R$ 13.664,00 ; R$ 13.252,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;115746;GOL 1.8;G;;;;;;;;;;;; R$ 14.418,00 ; R$ 13.748,00 ; R$ 13.290,00 ; R$ 12.850,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;112297;VW CC R LINE;G;;;;;; R$ 114.589,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154801;GOLF 2.0;G;;;; R$ 42.033,00 ; R$ 37.875,00 ; R$ 36.392,00 ; R$ 31.455,00 ; R$ 28.634,00 ; R$ 26.905,00 ; R$ 22.727,00 ; R$ 20.415,00 ; R$ 18.812,00 ; R$ 17.908,00 ; R$ 16.974,00 ; R$ 16.526,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154810;GOLF 2.0 PLUS;G;;;;;;;;;;;; R$ 19.235,00 ; R$ 18.472,00 ; R$ 17.202,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154802;GOLF GTI;G;;;;;;;;; R$ 32.556,00 ; R$ 30.829,00 ; R$ 26.618,00 ; R$ 23.470,00 ; R$ 22.042,00 ; R$ 21.031,00 ; R$ 19.158,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154803;GOLF;G;;;; R$ 38.345,00 ; R$ 34.788,00 ; R$ 33.800,00 ; R$ 31.672,00 ; R$ 28.162,00 ; R$ 27.173,00 ; R$ 22.380,00 ; R$ 20.847,00 ; R$ 18.758,00 ; R$ 17.986,00 ; R$ 16.636,00 ; R$ 15.816,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154804;GOLF GENERATION;G;;;;;;;;;;;; R$ 19.543,00 ; R$ 18.583,00 ; R$ 17.560,00 ; R$ 16.593,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154805;GOLF TRIP;G;;;;;;;;;;;;;; R$ 18.310,00 ; R$ 16.784,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154806;GOLF 2.0 SPORT;G;;;;;;;;;;;;;; R$ 17.873,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154808;GTI VR6;G;;;;;;;;;;;;;; R$ 38.823,00 ; R$ 36.598,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154809;GOLF 1.6 PLUS;G;;;;;;;;;;;; R$ 20.072,00 ; R$ 19.078,00 ; R$ 17.608,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163107;FOX PEPPER SFP;G; R$ 49.505,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154807;GOLF SPORT;G;;;;;;;;;;;; R$ 20.674,00 ; R$ 19.495,00 ; R$ 18.384,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;162802;GOLF COMFORTLINE MD;G; R$ 65.441,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163500;VW GOLF TDI SEL;G;; R$ 89.196,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163106;FOX PEPPER MFV;G; R$ 47.134,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163104;FOX PEPPER SFV;G; R$ 49.505,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163103;FOX TL MBV;G; R$ 36.411,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163102;FOX CL MBV;G; R$ 39.689,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163105;FOX PEPPER MFP;G; R$ 47.134,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163100;FOX CL MCV;G; R$ 39.689,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;203035;VW TIGUAN SE;G;;;;; R$ 71.738,00 ;;;; R$ 52.838,00 ;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;162801;GOLF HIGHLINE AB;G; R$ 95.055,00 ; R$ 90.578,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;169500;UP HIGH MB;G; R$ 39.253,00 ; R$ 35.833,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;169502;UP SPEED MB;G; R$ 41.371,00 ; R$ 38.639,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;169503;UP RUN MCV;G; R$ 37.729,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;169504;UP RUN SCV;G; R$ 40.543,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;169505;UP TRACK;G; R$ 27.822,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;163101;FOX TL MCV;G; R$ 36.411,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160644;FOX 1.6 HIGHLINE GII;G;;; R$ 34.976,00 ; R$ 30.783,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160656;VW NOVO SPACEFOX HL MB;G; R$ 57.157,00 ; R$ 54.390,00 ; R$ 53.851,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160655;VW NOVO SPACEFOX HL SB;G; R$ 61.587,00 ; R$ 59.274,00 ; R$ 58.016,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160654;VW NOVO SPACEFOX CL SA;G; R$ 56.300,00 ; R$ 53.525,00 ; R$ 52.522,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160653;VW NOVO SPACEFOX CL MA;G; R$ 54.676,00 ; R$ 50.372,00 ; R$ 48.460,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160651;VW CC TSI AA;G;; R$ 120.569,00 ; R$ 113.686,00 ; R$ 107.196,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160650;SPACEFOX PAT MA;G;;; R$ 37.113,00 ; R$ 32.046,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160649;Fox 1.6 Selecao GII;G;;; R$ 35.159,00 ; R$ 29.886,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160648;FOX 1.0 SELECAO;G;;; R$ 32.388,00 ; R$ 28.407,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160628;VW SPACEFOX GII;G;;;;; R$ 30.188,00 ; R$ 28.462,00 ; R$ 24.201,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160645;FOX 1.0 BLUEM. GII;G;;; R$ 29.678,00 ; R$ 28.275,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160659;GOL TL MC S;G;; R$ 31.328,00 ; R$ 29.294,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160641;FOX 1.6 BLUEM GII;G;;; R$ 31.402,00 ; R$ 30.158,00 ; R$ 28.963,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160640;SPACEFOX SPORT. GII;G;;;; R$ 32.743,00 ; R$ 31.214,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160638;SPACEFOX 1.6 GII;G;;; R$ 38.588,00 ; R$ 33.084,00 ; R$ 28.936,00 ; R$ 28.033,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160637;SPACEFOX TREND GII;G;;; R$ 38.588,00 ; R$ 33.467,00 ; R$ 29.006,00 ; R$ 28.102,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160636;FOX ROCK IN RIO;G;;;; R$ 33.351,00 ; R$ 31.170,00 ; R$ 30.013,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160635;VW SPACECROSS GII;G;;; R$ 43.106,00 ; R$ 37.114,00 ; R$ 34.485,00 ; R$ 33.451,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160633;VW SPACEFOX TREND GII;G;;; R$ 38.556,00 ; R$ 36.229,00 ; R$ 31.317,00 ; R$ 28.899,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160632;VW SPACEFOX 1.6 GII;G;;;;; R$ 30.650,00 ; R$ 28.897,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154812;GOLF 2.0 COMFORTLINE;G;;;;;;;;; R$ 27.890,00 ; R$ 25.085,00 ; R$ 21.701,00 ; R$ 19.876,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160647;VW SPACEFOX HIGH. GII;G;;; R$ 46.981,00 ; R$ 43.147,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160669;UP CROSS MC;G; R$ 37.538,00 ; R$ 35.339,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160681;NOVO GOL CITY MCV;G; R$ 27.614,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;154876;GOL 4GVE ELETRICO EGA;G;;;;;;;;; R$ 14.376,00 ;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160679;NOVO GOL HL SBV;G; R$ 44.062,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160677;NOVO GOL CL MBP;G; R$ 38.749,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160676;NOVO GOL CL MBV;G; R$ 38.749,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160675;NOVO GOL TL MCV;G; R$ 35.958,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160674;NOVO GOL HL MBV;G; R$ 42.993,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160673;NOVO SPACEFOX TL MA;G; R$ 48.513,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160672;NOVO SPACEFOX TL SA;G; R$ 51.565,00 ;;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160657;NOVO CROSSFOX MA;G; R$ 53.342,00 ; R$ 49.456,00 ; R$ 46.633,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160670;VW NOVO SPACEFOX TL MA;G; R$ 48.068,00 ; R$ 46.802,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160658;NOVO CROSSFOX SA;G; R$ 54.687,00 ; R$ 47.777,00 ; R$ 44.118,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160667;NOVO FOX ROCK RIO MB;G;; R$ 38.326,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160666;UP CROSS SA;G; R$ 39.287,00 ; R$ 37.014,00 ; R$ 35.291,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160665;UP CROSS MA;G; R$ 37.237,00 ; R$ 35.294,00 ; R$ 33.453,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160664;NOVO SPACEFOX CL MA;G; R$ 54.676,00 ; R$ 50.372,00 ; R$ 48.460,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160663;NOVO SPACEFOX CL SA;G; R$ 56.300,00 ; R$ 53.525,00 ; R$ 52.522,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160662;VW NOVO SPACECROSS SA;G; R$ 62.822,00 ; R$ 60.141,00 ; R$ 59.214,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160661;VW NOVO SPACECROSS MA;G; R$ 60.949,00 ; R$ 59.040,00 ; R$ 58.819,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160660;GOL TL MB S;G;; R$ 29.041,00 ; R$ 25.926,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160626;CROSSFOX GII;G;;; R$ 41.063,00 ; R$ 37.618,00 ; R$ 34.758,00 ; R$ 32.297,00 ; R$ 28.270,00 ; R$ 26.255,00 ;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160671;VW NOVO SPACEFOX TL SA;G; R$ 51.341,00 ; R$ 48.334,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160110;POLO SEDAN 2.0 COMFOR;G;;; R$ 39.123,00 ; R$ 33.805,00 ; R$ 31.559,00 ; R$ 28.694,00 ; R$ 26.607,00 ; R$ 24.457,00 ; R$ 22.839,00 ; R$ 20.458,00 ; R$ 18.789,00 ; R$ 17.305,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160121;ZILK 2.0L;G;; R$ 44.200,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160120;ZILK 1.4L;G;; R$ 38.685,00 ;;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160119;ZILK CROSS;G;;; R$ 44.285,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160117;POLO 2.0 SPORTLINE;G;;;; R$ 35.976,00 ; R$ 34.897,00 ; R$ 32.934,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160116;POLO 1.6 E-FLEX;G;;;;;;; R$ 25.912,00 ; R$ 24.835,00 ;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160115;ZILK 1.6;G;;;; R$ 35.644,00 ; R$ 33.550,00 ; R$ 30.082,00 ; R$ 27.461,00 ; R$ 25.210,00 ; R$ 23.847,00 ;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160114;POLO 2.0 GT;G;;;;; R$ 33.306,00 ; R$ 30.742,00 ; R$ 28.127,00 ; R$ 24.154,00 ; R$ 23.164,00 ;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160113;VW ZILK;G;;;;;;;;;;;; R$ 14.409,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160629;VW SPACEFOX SPORT.GII;G;;;; R$ 32.743,00 ; R$ 31.214,00 ; R$ 30.129,00 ; R$ 25.280,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160111;POLO 1.6 SPORTLINE;G;;; R$ 38.158,00 ; R$ 33.782,00 ; R$ 30.396,00 ; R$ 28.666,00 ; R$ 25.637,00 ; R$ 23.653,00 ; R$ 21.464,00 ; R$ 19.074,00 ; R$ 16.870,00 ; R$ 15.766,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160602;FOX 1.0 PLUS;G;;;;;;;; R$ 17.932,00 ; R$ 15.552,00 ; R$ 14.720,00 ; R$ 14.291,00 ; R$ 13.994,00 ; R$ 12.684,00 ;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160109;POLO SEDAN 1.6 EVID;G;;;;;;;;;;;; R$ 15.947,00 ;;;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160108;ZILK 1.6;G;;; R$ 42.855,00 ; R$ 36.796,00 ; R$ 33.212,00 ;;;; R$ 19.532,00 ; R$ 16.975,00 ;;;; R$ 13.492,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160107;ZILK 10;G;;; R$ 21.602,00 ; R$ 17.956,00 ; R$ 16.706,00 ;;;; R$ 13.322,00 ; R$ 12.364,00 ;;;; R$ 9.583,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160106;POLO 1.6 NEXT;G;;;;;;;;;;;;;; R$ 14.385,00 ;
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160105;POLO SEDAN 1.6;G;;; R$ 36.410,00 ; R$ 32.350,00 ; R$ 30.173,00 ; R$ 27.558,00 ; R$ 24.957,00 ; R$ 23.643,00 ; R$ 22.227,00 ; R$ 21.214,00 ; R$ 18.145,00 ; R$ 17.181,00 ; R$ 16.192,00 ; R$ 15.783,00 ; R$ 14.704,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160104;POLO SEDAN 2.0;G;;;;;;;;;;;; R$ 16.851,00 ; R$ 15.376,00 ; R$ 14.968,00 ; R$ 13.207,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160102;POLO 16V;G;;;;;;;;;;;;;; R$ 14.431,00 ; R$ 12.037,00 
TABELA A - AUTOMOVEIS;VOLKSWAGEN;160101;POLO 2.0;G;;;;;;;;; R$ 21.792,00 ; R$ 18.497,00 ;;;; R$ 15.702,00 ; R$ 14.532,00 
