Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
VOLKSWAGEN;SANTANA;TABELA A – CARROS;117000,00;G;;;;;;;;;;;;;;;;;;;;;R$ 17.391,00;R$ 15.667,00;R$ 14.730,00;R$ 13.415,00;R$ 11.863,00
VOLKSWAGEN;PARATI;TABELA A – CARROS;116699,00;G;;;;;;;;;;;;;;;;;;R$ 21.528,00;R$ 19.500,00;R$ 18.522,00;R$ 16.000,00;R$ 14.494,00;R$ 12.854,00;R$ 12.017,00;R$ 11.235,00
VOLKSWAGEN;PARATI 1.6 TITAN;TABELA A – CARROS;116668,00;G;;;;;;;;;;;;;;;R$ 25.518,00;R$ 24.059,00;R$ 21.907,00;R$ 19.659,00;R$ 18.954,00;;;;;;
VOLKSWAGEN;PARATI 1.8 CROSSOVER;TABELA A – CARROS;116652,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 19.634,00;;;
VOLKSWAGEN;PARATI 1.6 SURF;TABELA A – CARROS;116666,00;G;;;;;;;;;;;;;;R$ 31.808,00;R$ 29.218,00;R$ 27.953,00;R$ 25.966,00;R$ 22.523,00;R$ 22.026,00;R$ 18.551,00;;;;;
VOLKSWAGEN;PARATI 2.0 CROSSOVER;TABELA A – CARROS;116653,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 17.273,00;R$ 15.728,00;R$ 14.957,00;R$ 13.520,00
VOLKSWAGEN;PARATI 1.8 COMFORTL;TABELA A – CARROS;116664,00;G;;;;;;;;;;;;;;;;;;;;R$ 21.120,00;R$ 19.980,00;R$ 17.430,00;;;
VOLKSWAGEN;PARATI 1.6 TRACKFIELD;TABELA A – CARROS;116662,00;G;;;;;;;;;;;;;;;;;;R$ 23.558,00;R$ 21.559,00;R$ 20.596,00;R$ 19.067,00;R$ 16.618,00;R$ 15.727,00;R$ 14.871,00;
VOLKSWAGEN;PARATI 1.6 CITY;TABELA A – CARROS;116661,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 17.713,00;R$ 16.202,00;R$ 15.107,00;
VOLKSWAGEN;PARATI 2.0 PLUS;TABELA A – CARROS;116660,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 16.351,00;R$ 15.922,00;
VOLKSWAGEN;PARATI 1.8 PLUS;TABELA A – CARROS;116659,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 17.612,00;R$ 16.076,00;R$ 14.867,00;R$ 13.585,00
VOLKSWAGEN;PARATI 1.8 TRACKFIELD;TABELA A – CARROS;116658,00;G;;;;;;;;;;;;;;;;;;;;R$ 20.175,00;R$ 19.631,00;R$ 17.734,00;;;
VOLKSWAGEN;PARATI 2.0 TRACKFIELD;TABELA A – CARROS;116657,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 18.011,00;R$ 17.224,00;R$ 16.757,00;
VOLKSWAGEN;PARATI CL 1.8 MI;TABELA A – CARROS;116624,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 17.340,00;;
VOLKSWAGEN;PARATI 1.8 SURF;TABELA A – CARROS;116667,00;G;;;;;;;;;;;;;;;;;;R$ 22.890,00;R$ 21.833,00;R$ 20.071,00;;;;;
VOLKSWAGEN;GOL 1.8 RALLYE;TABELA A – CARROS;115773,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 14.767,00;;;
VOLKSWAGEN;PARATI 16V;TABELA A – CARROS;116627,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 11.126,00
VOLKSWAGEN;GOL 1.0 FLASH GIV;TABELA A – CARROS;115782,00;G;;;;;;;;;;;;;;;;;;;R$ 14.948,00;;;;;;
VOLKSWAGEN;GOL 1.8 POWER GIV;TABELA A – CARROS;115781,00;G;;;;;;;;;;;;;;;;;;;R$ 18.247,00;;;;;;
VOLKSWAGEN;GOL 1.6 POWER GIV;TABELA A – CARROS;115780,00;G;;;;;;;;;;;;;;;;;;R$ 20.547,00;R$ 19.111,00;R$ 18.294,00;R$ 17.512,00;R$ 16.374,00;;;
VOLKSWAGEN;GOL 1.6 GIV;TABELA A – CARROS;115779,00;G;;;;;;;;;;;;;;;;;;;R$ 16.290,00;;;R$ 13.415,00;;;
VOLKSWAGEN;GOL 1.0 GIV;TABELA A – CARROS;115778,00;G;;;;;;;;;;;;;;R$ 18.840,00;R$ 17.889,00;R$ 16.959,00;R$ 15.236,00;R$ 14.009,00;R$ 13.156,00;;;;R$ 10.930,00;;
VOLKSWAGEN;GOL 1.6 RALLYE GIV;TABELA A – CARROS;115777,00;G;;;;;;;;;;;;;;;;;;;R$ 18.369,00;;;;;;
VOLKSWAGEN;GOL 1.6 COPA;TABELA A – CARROS;115776,00;G;;;;;;;;;;;;;;;;;;;;;R$ 15.987,00;;;;
